interval,trend
198,0.08413706
199,0.04621785
200,0.01159993
201,0.00989182
202,-0.01950549
203,0.0014685
204,-0.01754981
205,0.00343967
206,-0.02031024
207,-0.03346805
208,-0.04119616
209,-0.04851747
210,-0.04209318
211,-0.02160739
212,-0.00025681
213,-0.00465632
214,-0.00203663
215,-0.01619514
216,-0.02756665
217,-0.02659936
218,-0.03629378
219,-0.02656559
220,-0.0161281
221,-0.00493021
222,0.00144112
223,0.01254395
224,0.02365748
225,-0.0002184
226,0.01332943
227,0.04223796
228,0.07895069
229,0.12772872
230,0.10354635
231,0.09267227
232,0.0451614
233,0.03064433
234,0.01085586
235,0.02379969
236,0.01679822
237,0.03985255
238,0.01686197
239,0.0280761
240,-0.00033497
241,0.01161226
242,-0.0051303
243,0.00542113
244,0.02245307
245,0.0456675
246,0.06627524
247,0.04841017
248,0.01954401
249,0.02015645
250,-0.00609002
251,0.01960332
252,0.00551215
253,0.02164409
254,0.03184742
255,0.00606076
256,0.0204185
257,-0.00508337
258,0.02165107
259,0.0221234
260,0.04890934
261,0.07287787
262,0.06684
263,0.03944082
264,-0.00208806
265,-0.02224624
266,-0.03261132
267,-0.03340069
268,-0.04060077
269,-0.03986405
270,-0.03827153
271,-0.04215261
272,-0.05443228
273,-0.07022096
274,-0.06837634
275,-0.06031442
276,-0.06318819
277,-0.04544267
278,-0.04469785
279,-0.05477273
280,-0.07173171
281,-0.08277638
282,-0.08060072
283,-0.07472925
284,-0.06548808
285,-0.06797031
286,-0.06208634
287,-0.06858657
288,-0.05614631
289,-0.06586714
290,-0.04806507
291,-0.0331997
292,-0.01245503
293,0.00956954
294,0.00580431
295,-0.01474403
296,-0.03013106
297,-0.05357399
298,-0.04794572
299,-0.05715475
300,-0.04791818
301,-0.05562972
302,-0.03869821
303,-0.04572411
304,-0.05526931
305,-0.05826301
306,-0.0548813
307,-0.0039406
308,0.0203331
309,0.0413428
310,0.05129381
311,0.02855071
312,0.01495401
313,0.00164751
314,-0.00426108
315,0.00548522
316,0.01665702
317,0.03215302
318,0.02878783
319,0.01797943
320,0.01419353
321,0.01684293
322,0.0245627
323,0.05982826
324,0.08575713
325,0.12440969
326,0.10507736
327,0.06725222
328,0.03445409
329,0.00468595
330,-0.00463018
331,-0.00836382
332,-0.00604925
333,-0.00279709
334,-0.01342352
335,-0.02576426
336,-0.02666739
337,-0.04436543
338,-0.04432327
339,-0.0284604
340,-0.01181094
341,0.00888653
342,0.01460866
343,-0.0108364
344,-0.02179547
345,-0.04330333
346,-0.0363349
347,-0.00985096
348,-0.01279173
349,0.00456161
350,0.01874385
351,0.01401048
352,0.01392712
353,0.01738705
354,0.03726879
355,0.08352522
356,0.12225816
357,0.16640499
358,0.15982193
359,0.11587096
360,0.0791395
361,0.03704433
362,0.0233066
363,0.03131156
364,0.03307072
365,0.04545929
366,0.03937815
367,0.03392801
368,0.00612148
369,-0.00208236
370,0.0013169
371,0.03036957
372,0.04835893
373,0.0854772
374,0.08661766
375,0.06608852
376,0.03815719
377,0.01535765
378,0.00687971
379,0.01474408
380,0.02603454
381,0.0355945
382,0.03230623
383,0.02643545
384,0.01191757
385,0.00993249
386,0.01377692
387,0.04871444
388,0.08725086
389,0.10922368
390,0.09507271
391,0.05936683
392,0.00924875
393,-0.02211203
394,-0.0379725
395,-0.03661158
396,-0.03775306
397,-0.04058314
398,-0.04711401
399,-0.05313209
400,-0.07331407
401,-0.08035785
402,-0.0895125
403,-0.08432935
404,-0.0720857
405,-0.04429676
406,-0.05005341
407,-0.07018386
408,-0.08502311
409,-0.08959426
410,-0.10179172
411,-0.09343107
412,-0.07722422
413,-0.06253867
414,-0.06207522
415,-0.06543288
416,-0.06235113
417,-0.07222908
418,-0.05433093
419,-0.03278578
420,0.00181246
421,0.03671291
422,0.03034831
423,0.00997381
424,-0.0130771
425,-0.046348
426,-0.0517163
427,-0.0569969
428,-0.0430863
429,-0.03892311
430,-0.03242641
431,-0.03283861
432,-0.04469271
433,-0.05615792
434,-0.04834122
435,-0.02378422
436,0.00277808
437,0.03431457
438,0.03579797
439,0.02550157
440,0.00024227
441,-0.01729684
442,-0.03436312
443,-0.00528321
444,-0.00558319
445,0.00386712
446,0.01931234
447,0.00786925
448,0.01477607
449,0.00111088
450,0.0135918
451,0.05109661
452,0.09342403
453,0.12526114
454,0.11992056
455,0.07088847
456,0.03646709
457,-0.0073058
458,-0.02596688
459,-0.00797107
