interval,trend
203,-0.00134862
204,-0.001389402
205,-0.001215095
206,-0.000869588
207,0.000497253
208,0.002346309
209,0.005207495
210,0.007902387
211,0.010267531
212,0.01153713
213,0.012393059
214,0.012583911
215,0.01263685
216,0.012481521
217,0.011809028
218,0.01051566
219,0.009148319
220,0.008012884
221,0.008013185
222,0.007646792
223,0.008254758
224,0.008766577
225,0.010308463
226,0.011841038
227,0.013517145
228,0.014810122
229,0.016306527
230,0.017341343
231,0.018846136
232,0.019507588
233,0.020041756
234,0.020932091
235,0.021129589
236,0.022022604
237,0.022570977
238,0.023747817
239,0.025172626
240,0.027013478
241,0.029184355
242,0.030934848
243,0.03186167
244,0.031504792
245,0.030385189
246,0.029595118
247,0.028455359
248,0.026434902
249,0.023536981
250,0.019488195
251,0.015934562
252,0.012346646
253,0.009532442
254,0.007117304
255,0.005381443
256,0.003259788
257,0.001741717
258,-0.000320488
259,-0.002067676
260,-0.004502012
261,-0.006512779
262,-0.008761876
263,-0.010459411
264,-0.012188904
265,-0.014394352
266,-0.017022495
267,-0.020311807
268,-0.022861965
269,-0.024945164
270,-0.026609103
271,-0.027270315
272,-0.028052226
273,-0.027953265
274,-0.028339601
275,-0.029475978
276,-0.030358706
277,-0.0321634
278,-0.033208824
279,-0.035130917
280,-0.036839248
281,-0.039388981
282,-0.042110349
283,-0.044855815
284,-0.047165818
285,-0.048535939
286,-0.049331916
287,-0.04863263
288,-0.04732205
289,-0.045323426
290,-0.043100064
291,-0.041470253
292,-0.040077409
293,-0.038709609
294,-0.037100831
295,-0.03529933
296,-0.033421978
297,-0.031096582
298,-0.029286082
299,-0.027757368
300,-0.026075264
301,-0.023914907
302,-0.021296881
303,-0.017871784
304,-0.013957482
305,-0.009325829
306,-0.005105154
307,-0.001950555
308,0.000562632
309,0.002046345
310,0.00353993
311,0.004508253
312,0.005170459
313,0.005406019
314,0.004845212
315,0.004075247
316,0.003784433
317,0.003437254
318,0.003662881
319,0.004138133
320,0.005244079
321,0.00662956
322,0.008342691
323,0.009022248
324,0.009605873
325,0.009897726
326,0.010432558
327,0.011530859
328,0.011314978
329,0.010930307
330,0.010379113
331,0.009469764
332,0.009113091
333,0.009172433
334,0.010041245
335,0.012182374
336,0.015030495
337,0.018682884
338,0.02179676
339,0.023920739
340,0.025412448
341,0.025969785
342,0.026127435
343,0.026292041
344,0.025639419
345,0.024656544
346,0.022582604
347,0.020847254
348,0.019356261
349,0.018465128
350,0.018382956
351,0.019236608
352,0.02062009
353,0.022852442
354,0.02503329
355,0.026972608
356,0.028531668
357,0.029556669
358,0.03080655
359,0.032247217
360,0.033576362
361,0.034732592
362,0.035303805
363,0.035592263
364,0.036147238
365,0.03692109
366,0.038313292
367,0.040387666
368,0.042756003
369,0.045731989
370,0.047939576
371,0.048930381
372,0.048814241
373,0.047935237
374,0.046585004
375,0.044783044
376,0.041825037
377,0.037853298
378,0.032645518
379,0.027451517
380,0.022837248
381,0.018947069
382,0.015860317
383,0.01323505
384,0.010713166
385,0.008826154
386,0.006496576
387,0.003824332
388,0.000923085
389,-0.001411445
390,-0.003843381
391,-0.006154307
392,-0.008778546
393,-0.011483365
394,-0.015082205
395,-0.018790755
396,-0.021923429
397,-0.024615777
398,-0.026315499
399,-0.02728295
400,-0.027598355
401,-0.027337907
402,-0.027465863
403,-0.028010556
404,-0.028974277
405,-0.030395388
406,-0.031899017
407,-0.033625208
408,-0.03586425
409,-0.038941664
410,-0.042396544
411,-0.045516333
412,-0.04805437
413,-0.049649655
414,-0.050289391
415,-0.049943336
416,-0.048982612
417,-0.047224865
418,-0.045361911
419,-0.0435908
420,-0.042288986
421,-0.040922712
422,-0.039800889
423,-0.037746516
424,-0.035825878
425,-0.03397337
426,-0.032421929
427,-0.031009181
428,-0.028936988
429,-0.026836159
430,-0.024319426
431,-0.020590442
432,-0.016033
433,-0.011094333
434,-0.006644108
435,-0.003401091
436,-0.000915726
437,0.000426843
438,0.001555189
439,0.002685918
440,0.003119994
441,0.002598406
442,0.001330457
443,-0.000128727
444,-0.001594481
445,-0.00273719
446,-0.002955846
447,-0.002505806
448,-0.001465785
449,-0.000362708
450,0.001104601
451,0.001540379
452,0.001774282
453,0.001746143
454,0.002101359
455,0.002530406
456,0.002774291
457,0.0029115
458,0.002417888
459,0.002192295
460,0.00201825
461,0.00268564
462,0.004282325
463,0.007580772
464,0.011151358
465,0.016088006
466,0.020623754
467,0.023479408
468,0.025547204
469,0.02663382
470,0.027527354
471,0.028329069
472,0.028173336
473,0.027148525
474,0.025159967
475,0.023110352
476,0.022269395
477,0.02156175
478,0.021962928
479,0.023446691
480,0.02527056
481,0.028115277
482,0.031734839
483,0.034297204
484,0.036731691
485,0.038624866
486,0.040738207
487,0.042836556
488,0.044885938
489,0.046632797
490,0.047927987
491,0.048509886
492,0.049673016
493,0.05096077
494,0.053133742
495,0.056055309
496,0.059629224
497,0.063643236
498,0.066923052
499,0.067075655
500,0.066022084
501,0.064469208
502,0.062359039
503,0.059509245
504,0.055634569
505,0.05053543
506,0.044382504
507,0.037891967
508,0.032530196
509,0.027938378
510,0.024097429
511,0.020907773
512,0.017800684
513,0.014821221
514,0.011818842
515,0.008706315
516,0.005426171
517,0.001944396
518,-0.000911205
519,-0.003474065
520,-0.00674824
521,-0.010435009
522,-0.014919794
523,-0.019975691
524,-0.023982001
525,-0.027546948
526,-0.029949806
527,-0.031629636
528,-0.03276381
529,-0.033647891
530,-0.034410182
531,-0.035937851
532,-0.037653238
533,-0.039623764
534,-0.041921938
535,-0.044267672
536,-0.047310527
537,-0.050982812
538,-0.055904546
539,-0.060262282
540,-0.062236599
541,-0.063357824
542,-0.063585968
543,-0.062803837
544,-0.061285284
545,-0.059475334
546,-0.056962165
547,-0.0554588
548,-0.053680956
549,-0.052087074
550,-0.050472459
551,-0.048496729
552,-0.046331097
553,-0.044157516
554,-0.04216829
555,-0.040375338
556,-0.03836491
557,-0.036045269
558,-0.033168015
559,-0.029459028
560,-0.02529842
561,-0.020335575
562,-0.015700007
563,-0.012236065
564,-0.00966924
565,-0.008031414
566,-0.006695337
567,-0.005460534
568,-0.004820124
569,-0.004938398
570,-0.005960443
571,-0.007339535
572,-0.00834711
573,-0.00907345
574,-0.009290674
575,-0.008743071
576,-0.00798332
577,-0.006711875
578,-0.005746525
579,-0.00502702
580,-0.004890086
581,-0.004544356
582,-0.003983497
583,-0.003417397
584,-0.003243945
585,-0.002830872
586,-0.002919332
587,-0.003436739
588,-0.003392957
589,-0.002937334
590,-0.001553203
591,0.00122443
592,0.004587725
593,0.009021382
594,0.013030321
595,0.015969103
596,0.017870465
597,0.018907059
598,0.019438087
599,0.020092431
600,0.01991119
601,0.018776459
602,0.017126977
603,0.014912998
604,0.013768294
605,0.012989716
606,0.013189619
607,0.01448551
608,0.016331429
609,0.018881351
610,0.02153266
611,0.023990256
612,0.025832407
613,0.027606108
614,0.02925685
615,0.030982463
616,0.032579461
617,0.034021254
618,0.034727457
619,0.035341291
620,0.036199582
621,0.037190987
622,0.038967396
623,0.041336687
